level_0,index,SITE_ID,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAP_tower,MAT_tower,MET,PET_PM,PET_PT,MAP_badm,MAT_badm,GSfit_R2,CanopyHeight,MLAI,Nsample,GSfit_R2_nosm,g0,g1,m,GSmax0,GSmax1,GSmax2,g00,g01,g02,g03,GSREF
1,1,AR-Vir,2009,2012,-28.2395,-56.1886,,ENF,1445.180462,21.6418771,1233.58814,1354.958888,1497.602876,,,0.297218574,13.33333333,6,2814,0.297218574,0.100289448,0.009168357,0.997500336,0.057373535,0.06865563,0.088002861,0.100289448,0.100289448,0.100289448,0.100289448,0.112072468
2,2,AT-Neu,2002,2012,47.1167,11.3175,970,GRA,664.5464677,6.778733667,495.7960398,1793.27324,559.9718314,852,6.5,0.231704332,0.172394958,3.580086479,3257,0.204570132,0.126506942,0.006383932,0.231988472,0.095575117,0.110312339,0.13340966,0.18451613,0.166888075,0.11639513,0.0868383,0.123027022
3,3,AU-Ade,2007,2009,-13.0769,131.1178,,SAV,1586.510023,27.22091648,1195.299827,1638.513283,1850.934374,,,0.444641698,12.5,1.525953495,2141,0.360813242,0.068880915,0.014432885,0.303043122,0.144943823,0.161392763,0.188111366,0.042351492,0.154637998,0.12467655,0.210091378,0.177041092
4,4,AU-ASM,2010,2013,-22.283,133.249,,ENF,325.9287132,22.55610056,290.3837293,2222.360651,1749.400389,,,0.665243062,6.5,0.423829046,2212,0.468178791,0.01173621,0.008457209,0.32453102,0.062246508,0.071792629,0.082517131,0.007542748,0.005862656,0.013611809,0.026850014,0.097764306
5,5,AU-Cpr,2010,2014,-34.0021,140.5891,,SAV,330.1338128,17.52242713,327.9854252,2445.675148,1256.17533,,,0.588535672,2.7,0.570799384,6209,0.518758686,0.012017211,0.012409358,0.432986461,0.12480959,0.139731982,0.159652944,0.011237204,0.012105463,0.012538485,0.011131199,0.173922082
6,6,AU-Cum,2012,2014,-33.6133,150.7225,,EBF,542.0929897,18.40091868,717.1746565,1342.51577,1401.814684,,,0.240380337,23,1.496912443,2424,0.240380337,0.070743122,0.010109876,0.689421747,0.087891298,0.101262792,0.117199184,0.070743122,0.070743122,0.070743122,0.070743122,0.128126116
7,7,AU-DaP,2007,2013,-14.0633,131.3181,,GRA,1388.431984,25.43324576,796.9485393,2919.900316,1612.612683,,,0.556515809,1,2.184498455,2845,0.534853129,0.026788839,0.010780287,0.424246312,0.053334787,0.064008492,0.080632797,0.021686153,0.035679314,0.022145981,0.038759948,0.11675154
8,8,AU-DaS,2008,2014,-14.1593,131.3881,,SAV,1440.77044,26.64130476,946.6253902,3368.800612,1749.6362,,,0.307445208,16.4,1.489347303,4349,0.242442191,0.053546971,0.009541973,0.387153219,0.083872425,0.09527037,0.1124884,0.033840463,0.049606315,0.066187719,0.124742306,0.102535001
9,9,AU-Dry,2008,2014,-15.2588,132.3706,,SAV,736.3055948,27.03522527,834.5768188,3954.008859,1778.225634,,,0.309250969,12.3,1.404072769,2704,0.244884844,0.058792134,0.00787563,0.286603949,0.095542872,0.10226585,0.112847493,0.007864186,0.030530739,0.017182035,0.089552866,0.117829451
10,10,AU-Emr,2011,2013,-23.8587,148.4746,,GRA,557.5413295,21.32414222,408.3649116,2192.151729,1465.688651,,,0.413653859,0.6,0.885612884,2290,0.351133428,0.018364977,0.006714059,0.498388019,0.043034936,0.048560715,0.058000903,0.009588268,0.013961634,0.027220957,0.029812158,0.068729793
12,12,AU-Gin,2011,2014,-31.3764,115.7138,,SAV,549.8527525,19.42884591,599.8788079,879.0266406,1658.358479,,,0.687444967,6.8,1.094444274,4748,0.566144076,3.92E-21,0.012551721,0.410304449,0.085581216,0.095719599,0.109653472,7.74E-20,3.92E-21,0.000921689,0.049256342,0.138532547
13,13,AU-GWW,2013,2014,-30.1913,120.6541,,SAV,295.3722417,19.42644772,308.7671793,2255.406762,1456.930982,,,0.257829841,18,0.413784777,2280,0.228486471,0.018049683,0.009312225,0.806369385,0.091460753,0.107390819,0.132633674,0.01380389,0.021086243,0.022452405,0.022820753,0.163444459
14,14,AU-How,2001,2014,-12.4943,131.1523,,SAV,1571.15603,26.77147089,1219.227828,1271.388202,1853.002567,,,0.406853015,16,1.907708419,3301,0.294608809,0.042628958,0.013213574,0.249279356,0.097242075,0.107353019,0.121780474,0.049187938,0.063042042,0.109227892,0.142227725,0.116676065
